النتيحة,موعد المباراة,الفريق الثانى,الفريق الاول,البطولة
- - -,19:30,ليفربول,توتنام هوتسبر,الدوري الإنجليزي الممتاز
0 - 2,17:00,شيفيلد يونايتد,وست هام يونايتد,الدوري الإنجليزي الممتاز
0 - 1,17:00,مانشستر سيتي,ولفرهامبتون,الدوري الإنجليزي الممتاز
2 - 0,17:00,أرسنال,بورنموث,الدوري الإنجليزي الممتاز
2 - 1,17:00,لوتون تاون,إيفرتون,الدوري الإنجليزي الممتاز
1 - 0,17:00,كريستال بالاس,مانشستر يونايتد,الدوري الإنجليزي الممتاز
0 - 1,17:00,بيرنلي,نيوكاسل يونايتد,الدوري الإنجليزي الممتاز
1 - 6,14:30,برايتون,أستون فيلا,الدوري الإنجليزي الممتاز
- - -,22:00,أتليتك بلباو,ريال سوسيداد,الدوري الإسباني
- - -,19:30,ريال مدريد,جيرونا,الدوري الإسباني
0 - 1,17:15,ريال مايوركا,رايو فايكانو,الدوري الإسباني
0 - 0,15:00,فياريال,خيتافي,الدوري الإسباني
- - -,21:00,الاتفاق,الأهلي,الدوري السعودي للمحترفين
- - -,21:00,ضمك,الخليج,الدوري السعودي للمحترفين
- - -,18:00,الوحدة,الفتح,الدوري السعودي للمحترفين
- - -,18:00,الأخدود,الرائد,الدوري السعودي للمحترفين
1 - 0,15:00,الرياض,أبها,الدوري السعودي للمحترفين
- - -,21:45,إنتر,ساليرنيتانا,الدوري الإيطالي
- - -,19:00,لاتسيو,ميلان,الدوري الإيطالي
4 - 0,16:00,نابولي,ليتشي,الدوري الإيطالي
- - -,19:30,بايرن ميونيخ,لايبزج,الدوري الألماني
3 - 0,16:30,بوروسيا مونشنجلادباخ,بوخوم,الدوري الألماني
0 - 0,16:30,شتوتجارت,كولن,الدوري الألماني
0 - 1,16:30,يونيون برلين,هايدنهايم,الدوري الألماني
3 - 0,16:30,باير ليفركوزن,ماينتس 05,الدوري الألماني
0 - 1,16:30,آينتراخت فرانكفورت,فولفسبورج,الدوري الألماني
- - -,22:00,أولمبيك مارسيليا,موناكو,الدوري الفرنسي
- - -,18:00,باريس سان جيرمان,كليرمونت فوت,الدوري الفرنسي
- - -,22:00,حافيا كوناكري,الوداد الرياضي,دوري أبطال إفريقيا
- - -,22:00,بو رينجرز,شباب بلوزداد,دوري أبطال إفريقيا
- - -,21:30,النجم الساحلي,الجيش الملكي,دوري أبطال إفريقيا
- - -,19:00,اتحاد دوانس,الترجي,دوري أبطال إفريقيا
- - -,19:00,بومامورو,ماميلودي صنداونز,دوري أبطال إفريقيا
- - -,19:00,المريخ,يانج أفريكانز,دوري أبطال إفريقيا
- - -,19:00,ميدياما,هوريا,دوري أبطال إفريقيا
0 - 0,17:00,يونياو دو سونجو,بترو أتلتيكو,دوري أبطال إفريقيا
0 - 4,16:00,بيج بولتس,مازيمبي,دوري أبطال إفريقيا
- - -,21:00,فيروفياريو مابوتو,ساجرادا إسبرانسا,كأس الكونفدرالية
- - -,19:00,أرتا سولار 7,الزمالك,كأس الكونفدرالية
- - -,19:00,دريمز,كالون,كأس الكونفدرالية
- - -,19:00,الهلال,رايون سبورتس,كأس الكونفدرالية
- - -,19:00,سوار,أكاديمية أمادو ديالو,كأس الكونفدرالية
0 - 0,16:00,الملعب المالي,أيجل نوار ماكامبا,كأس الكونفدرالية
2 - 3,16:00,أبوسليم,كامبالا سيتي,كأس الكونفدرالية
- - -,22:30,سبورتنج لشبونة,فارنزي,الدوري البرتغالي
- - -,20:00,فاماليساو,بوافيشتا,الدوري البرتغالي
0 - 0,17:30,بورتيمونينسي,فيزيلا,الدوري البرتغالي
- - -,19:00,أنقرة جوجو,جالاتا سراي,الدوري التركي
1 - 2,16:00,بنديك سبور,طرابزون سبور,الدوري التركي
2 - 1,16:00,أنطاليا سبور,إسطنبول سبور,الدوري التركي
0 - 0,13:30,هاتاي سبور,سيفاس سبور,الدوري التركي
- - -,22:00,هيرنفين,تفينتي,الدوري الهولندي
- - -,22:00,أياكس,فالفيك,الدوري الهولندي
- - -,19:45,فوليندام,إيندهوفن,الدوري الهولندي
- - -,19:45,ألمير سيتي,أوتريخت,الدوري الهولندي
0 - 0,17:30,جو أهيد إيجلز,فيينورد,الدوري الهولندي
1 - 2,17:00,ستوك سيتي,بريستول سيتي,الدوري الإنجليزي | الدرجة الأولى
0 - 0,17:00,روثيرام يونايتد,كارديف سيتي,الدوري الإنجليزي | الدرجة الأولى
0 - 0,17:00,إبسويتش تاون,هدرسفيلد تاون,الدوري الإنجليزي | الدرجة الأولى
1 - 1,17:00,بليموث,هال سيتي,الدوري الإنجليزي | الدرجة الأولى
1 - 0,17:00,سوانزي سيتي,ميلوول,الدوري الإنجليزي | الدرجة الأولى
0 - 0,17:00,برمنجام سيتي,نورويتش سيتي,الدوري الإنجليزي | الدرجة الأولى
2 - 0,17:00,وست بروميتش ألبيون,بريستون,الدوري الإنجليزي | الدرجة الأولى
0 - 0,17:00,كوفنتري سيتي,كوينز بارك رينجرز,الدوري الإنجليزي | الدرجة الأولى
2 - 1,17:00,ميدلسبره,واتفورد,الدوري الإنجليزي | الدرجة الأولى
1 - 3,14:30,ليدز يونايتد,ساوثامبتون,الدوري الإنجليزي | الدرجة الأولى
- - -,21:30,يانج بويز,جراسهوبرز,الدوري السويسري
- - -,19:00,لوزان,سيرفيتي,الدوري السويسري
- - -,19:00,لوجانو,فينترتور,الدوري السويسري
0 - 0,17:00,دوندي,هيبرنيان,الدوري الاسكتلندي
0 - 0,17:00,سانت ميرين,كليمارنوك,الدوري الاسكتلندي
0 - 0,17:00,أبردين,جلاسكو رينجرز,الدوري الاسكتلندي
0 - 0,17:00,هارت أوف ميدلوثيان,روس كاونتى,الدوري الاسكتلندي
0 - 1,17:00,ليفينجستون,سانت جونستون,الدوري الاسكتلندي
2 - 1,14:30,سيلتك,ماذرويل,الدوري الاسكتلندي
- - -,21:45,رويال أنتويرب,ميشيلين,الدوري البلجيكي
- - -,19:15,ستاندار لييج,آود هيفرلي لوفين,الدوري البلجيكي
0 - 0,17:00,أندرلخت,أوبين,الدوري البلجيكي
- - -,18:00,شباب المحمدية,أولمبيك آسفي,البطولة المغربية الاحترافية إنوي
- - -,21:00,شباب قسنطينة,أولمبي الشلف,الرابطة المحترفة الجزائرية الأولى
- - -,21:00,نجم بن عكنون,شبيبة الساورة‎‎,الرابطة المحترفة الجزائرية الأولى
- - -,17:45,مولودية البيض,مولودية الجزائر,الرابطة المحترفة الجزائرية الأولى
- - -,19:00,الوصل,خورفكان,دوري أدنوك الإماراتي للمحترفين
1 - 2,16:20,البطائح,الجزيرة,دوري أدنوك الإماراتي للمحترفين
- - -,18:00,بي إم سي | كرة يد,الأهلي | كرة يد,دوري أبطال إفريقيا | كرة يد
- - -,18:00,شبيبة كينشاسا | كرة يد,فاب ياوندي | كرة يد,دوري أبطال إفريقيا | كرة يد
